X;Y;Z;idstation;nom;adresse1;adresse2;commune;numdansarr;nbbornette;stationbon;pole;ouverte;achevement;gid;code_insee
4.84052457167251;45.7485202867306;0;7024;Bancel / Chevreul;Rue Bancel;Rue Chevreul;Lyon 7 ème;24;21;;Itinéraire cyclable;Oui;;1;69387
4.88560943442451;45.7583918194316;0;10063;Perrin / Jean Jaurès;"9, Place Jules Grandclément";Rue Antonin Perrin;VILLEURBANNE;63;34;;quartier Grandclément;Oui;;2;69266
4.88994693631788;45.7597183207296;0;10021;GrandClément;Place GrandClément;"171, Cours Tolstoï";VILLEURBANNE;21;19;;"centre quartier, futur arrêt C3, itinéraire cyclable";Oui;;3;69266
4.86742864452601;45.7467163314947;0;8038;Albert Thomas / Villon;"64, Cours Albert Thomas";angle rue Villon;Lyon 8 ème;38;20;;"bureaux, itinéraire cyclable";Oui;;4;69388
4.82448751570971;45.737740958689;0;7045;Parc des Berges;"Face 40, Avenue Leclerc";;Lyon 7 ème;45;25;;"Accès berges, parc, itinéraire cyclable";Oui;;5;69387
4.85700187591423;45.766367311267;0;6045;Brotteaux / Vauban;44 bd des Brotteaux;;Lyon 6 ème;45;15;;"Commerces, maillage";Oui;;6;69386
4.8568128186712;45.7357952320593;0;8056;Delore / Audibert & Lavirotte;"Face 69, Rue Audibert & Lavirotte";;Lyon 8 ème;56;18;;Maillage;Oui;;7;69388
4.87419427068388;45.7403259296419;0;8015;Jean XXIII;"25, Rue Maryse Bastié";;Lyon 8 ème;15;16;;"Tramway, habitations";Oui;;8;69388
4.8354967607642;45.7347254902347;0;7057;Jaurès / Bollier;"218, Avenue Jean Jaurès";;Lyon 7 ème;57;34;;ENS Lettres;Oui;;9;69387
4.82771915596122;45.7356738897812;0;7007;Farge / Ayasse;"117, Boulevard Yves Farge";Face Rue Commandant Ayasse;Lyon 7 ème;52;20;;"Centre commercial, logements, itinéraire cyclable";Oui;;10;69387
4.8477802774631;45.7454305152808;0;7064;CROUS;"96, Rue Chevreul";;Lyon 7 ème;64;17;;Ecole de Condé;Oui;;11;69387
4.83007978876956;45.7692658462513;0;1003;Place Sathonay;"4, Place Sathonay";;Lyon 1 er;3;15;;;Oui;;12;69381
4.83205937042517;45.7402806526508;0;7018;Lycée Louise Labé;"1, Rue Rivet";;Lyon 7 ème;18;20;;Lycée professionnel Louise Labé;Oui;;13;69387
4.84073278996644;45.7557687140507;0;7056;Place Raspail;", Rrue Cavenne";;Lyon 7 ème;56;22;;"Commerces, quartier, point nodal (Guillotière, 7e,";Oui;;14;69387
4.83336455180237;45.753449502621;0;2012;Gailleton;"4, Place Gailleton";;Lyon 2 ème;12;16;;;Oui;;15;69382
4.84324933374681;45.7485374331788;0;7061;Jaurès / Université;"53, Rue de l'Université";;Lyon 7 ème;61;20;;"Coeur de quartier, commerces";Oui;;16;69387
4.86344205890526;45.7278718558835;0;8008;Beauvisage / Préssensé;"159, Rue Rrofesseur Beauvisage";;Lyon 8 ème;8;17;;itinéraires cyclables;Oui;;17;69388
4.88349701673627;45.7806441632908;0;10031;Croix Luizet;"Face 158, Avenue Roger Salengro";;VILLEURBANNE;31;22;;Centre quartier;Oui;;18;69266
4.83117812464448;45.7659547300349;0;1016;Pêcherie;"6, Rue de la Platière";Angle Quai de la Pêcherie;Lyon 1 er;16;17;;bouquinistes;Oui;;19;69381
4.85520085642282;45.7572612599252;0;3084;Desaix;"128, Rue Paul Bert";;Lyon 3 ème;84;28;;;Oui;;20;69383
4.8716371652356;45.7762463810845;0;10120;Salengro / Descartes;"39, Rue Roger Salengro";;VILLEURBANNE;120;15;;Maillage;Oui;;21;69266
4.86508416387106;45.7663703493176;0;6044;Charmettes / Bellecombe;"26, Rue de la Viabert";;Lyon 6 ème;44;16;;"CIL Bellecombe, hôpital des Charmettes, ND de Bell";Oui;;22;69386
4.89708592411878;45.7840513436847;0;10122;Verdun / Desgrand;"13, Rue de Verdun";;VILLEURBANNE;122;21;;Maillage;Oui;;23;69266
4.84840348575572;45.7566983441752;0;3018;Créqui / Voltaire;Rue de Créqui;angle place Voltaire;Lyon 3 ème;18;30;;Coeur de quartier;Oui;;24;69383
4.86850035071607;45.7620516689039;0;3101;Patinoire Baraban;"Face 52, Rue Baraban";;Lyon 3 ème;101;20;;"Patinoire, activités";Oui;;25;69383
4.9044888457893;45.7804458217109;0;10119;Villeurbanne Saint-Jean;"2, Rue des Acacias";;VILLEURBANNE;119;12;;Collège Jean Vilar;Oui;;26;69266
4.8790707067819;45.7719119252491;0;10121;Parc du Centre;"34, Rue Billon";Angle Rue Fancis de Préssencé;VILLEURBANNE;121;16;;"Parc du centre, itinéraire cyclable";Oui;;27;69266
4.89037421383777;45.7715543267274;0;10092;Montgolfier / Château Gaillard;135 rue Château Gaillard;;VILLEURBANNE;92;17;;Maillage;Oui;;28;69266
4.85417644341511;45.7241420539186;0;8051;Hôpital Saint-Jean de Dieu;"313, Route de Vienne";;VENISSIEUX;51;20;;"Hôpital Saint Jean de Dieu, logement colllectif";Oui;;29;69259
4.88482046365007;45.7512052508819;0;3079;Place Louise;"4, Place Louise";;Lyon 3 ème;79;16;;"Coeur de quartier, Parc Georges Bazin, maillage";Oui;;30;69383
4.86830540182516;45.7408946957303;0;8054;Martinière / Monplaisir;"3, Rue Antoine Lumière";;Lyon 8 ème;54;20;;Lycée technique;Oui;;31;69388
